sentence1,sentence2,gold_label
An older man reads a newspaper in front of a store.,A man is sleeping at home.,contradiction
Two girls playing at a playground.,two girls sleeping in beds,contradiction
"Two men in hats, one playing a banjo and one playing a saxophone, make music together on the street.",Two men playing poker,contradiction
Young girl carries a bouquet of flowers.,Young boy carries a bouquet of flowers.,contradiction
The crowd is gathered to watch a sporting event.,The rocket is launching.,contradiction
"A man wearing overalls, an orange hat and a yellow shirt is lying on the pavement taking photos with a camera.",A man is laying on a grassy field with his camera phone.,contradiction
A topless muscular man is playing a stringed instrument outside.,"A skinny, ill man sells his trumpet.",contradiction
An individual is standing outside of a white building.,people chatting among themselves,contradiction
A brown dog and a tan dog are playing in tall grass.,The dogs are playing in the living room.,contradiction
Two men vie for a football.,The men are sleeping.,contradiction
A woman sitting in a brown coat holds a book and bows her head.,The woman is wearing a green coat.,contradiction
Two people searching for something in the woods in winter time.,People are out having fun on a hot summer day.,contradiction
The football player jumps into the air to catch a football.,The basketball player makes a basket.,contradiction
two dancers dance together.,Two dancers are tying their shoelaces.,contradiction
A man in yellow rain gear holding a shovel looks on as a man in a green jacket swings a pick at the ground.,Two men sing a musical number,contradiction
Bicyclists waiting at an intersection.,A bicyclist is sitting down having lunch at the mall.,contradiction
A man wearing a microphone headset and holding a red napkin.,A man scold in a microphone headset.,contradiction
Two young women wearing bikini tops and denim shorts walk along side an orange VW Beetle.,Two young women are swimming in the lake,contradiction
A man is about to take his blue bag out from a basket in the laundromat.,A man is riding a motorcycle.,contradiction
A man is playing with fire in front of a group of people.,the man caught himself on fire.,contradiction
A soccer player in a red uniform headbutting the ball.,a spaceship is the place the world cup will be held,contradiction
Construction workers are filling in a hole with concrete from a concrete truck with green stripes on the tank.,The workers are sleeping.,contradiction
a dog pounces into the water.,A dog sitting in grass.,contradiction
A young boy wearing safety glasses uses a hammer to break up rocks while a man in plaid pants stands nearby leaning on a cane.,A boy and a man look at insects in a park.,contradiction
"Two girls, one dressed in a salmon colored shirt, the other dressed in red shirt, are dancing on a roof.",Three boys dance on a roof.,contradiction
A man watering plants on his house.,A man is playing the piano.,contradiction
A person is shaking hands with people in front of them.,a dog sits,contradiction
Two yellow belts practicing technique in front of a group.,Two yellow belts dance the hula.,contradiction
An Indian woman wearing a green and tan sari works with a small piece of metal on a blue mat.,The woman is driving a car.,contradiction
Two men in sponsorship shirts open bottles that are spraying.,Two shirtless men are having a fight in the mud.,contradiction
"A toddler wearing boots, a hat and an orange-sashed blue coat is looking behind him at a woman in a short-sleeved top, a skirt and platform heels as they walk along the street in the daytime.","A toddler is wearing boots, a hat and an orange-sashed white coat.",contradiction
The dog ran in the field.,The cat sleeps in the field.,contradiction
A boy sits facing backwards in a car while making a peace sign.,The boy is sleeping in a motel,contradiction
A man wearing no shirt and many large feathers on his head is looking into a shoe store.,The man is wearing a white tshirt.,contradiction
A woman in glasses is using a sewing machine.,A woman uses a rowing machine.,contradiction
Woman with long hair walking in a field of grass and goldenrod.,A woman doing the laundry indoors,contradiction
A white puppy holds a yellow tennis ball in its mouth.,The puppy is chewing on a rope.,contradiction
Two young girls splashing in a puddle,The ground is very dry.,contradiction
"The man only needed to make one trip, so he loaded his car with very large air bags.",A man skids his car off a cliff and parachutes to safety.,contradiction
A man crashing on the waves.,a man swimming at a peaceful lake,contradiction
Man pretending to be a rock star.,a man pretends to be a famous rapper,contradiction
Two little children are in a bin of colored balls.,THERE ARE TWO CHILDREN SLIDING DOWN A HILL,contradiction
A young female swimmer is getting ready to jump off the block.,The woman is a few seconds away from her first skydiving experience.,contradiction
An elderly couple sit on a bench in a park looking at a map.,An old couple are reading a book together,contradiction
There is someone in a hat sitting at a table looking at the people walking by.,The person in not wearing a hat.,contradiction
A group of men with brass instruments.,The men do not have instruments.,contradiction
A catcher with a red shirt is standing in the dirt with his glove held out.,The catcher jumps up and down.,contradiction
"Sparks fly as a man in a protective mask, works on rusty metals.",There are no sparks.,contradiction
Two vendors with red and white umbrellas are outside in the middle of a lot of people.,Vendors serve a crowd in an indoor mall.,contradiction
A boy in an orange shirt plays on a large drainpipe with several other children in a sandy area.,the area is filied with molten glass,contradiction
two white dogs play in the grass.,The pets are sleeping near a fireplace.,contradiction
a group of children staring at a computer screen.,The children are sleeping in class.,contradiction
"An elderly man plays a tambourine in a concert, with a trumpet on his lap.",The man is in the hospital.,contradiction
A woman wearing a red coat and striped pants is leaning towards a man wearing a black hat and smoking a cigarette.,A woman is leaning towards another woman.,contradiction
A child playing on the monkey bars at a playground with an adult present.,A child napping,contradiction
A woman cyclist in a shirt wearing a bike helmet waits with a child passenger at a stop with another woman cyclist wearing a blue shirt and black pants.,Two people and a child are all wearing seatbelts.,contradiction
A baby on a floor with an overturned basket and articles on the floor.,The baby is being held by its mother.,contradiction
"Women are seated at a picnic table eating, while a man in a white t-shirt and a yellow and orange balloon design on his head stands in the background.",A group of men eats at a restaurant.,contradiction
People Running a Marathon.,Two ladies stand by an empty street.,contradiction
Workers fix train tracks.,People wreck tracks.,contradiction
A man in a gray and orange shirt stands in front of a streetlight.,"A man in a gray and orange shirt sits in his car, waiting for the streetlight to turn.",contradiction
A girl and her cat are curious to see how this airplane is built with legos.,A girl watches her cat play outdoors.,contradiction
Two dogs on leashes get close together.,Two dogs are running around a park off their leashes.,contradiction
Two males stand by a board that says HELL.,Two males are going to Hell.,contradiction
"A small black boy wearing a grayish blue shirt, jeans with a hole in one knee, and flip-flops sits reading a book on a wooden bench in the children's section of a library.",An old man looks out a window.,contradiction
"A man wearing a white shirt is standing in a doorway surrounded by green bars, and his holding a cellphone up to his right ear.",The man is sitting on the couch.,contradiction
The soccer player wearing the gold jersey is blocking the ball from the opposing team player.,Two people are sitting on their couch.,contradiction
A woman staring at a plate of food.,A woman is drinking a soda.,contradiction
"A bearded man wearing glasses and a ""tool"" t-shirt uses a laptop while two guys converse behind him at another table.",Three men sit together at a table.,contradiction
Am man is sitting in a red go-kart.,A man stands near a go-kart.,contradiction
A young boy trying to kick a pigeon in park.,A young girl is playing with a pigeon.,contradiction
A man sitting upon a roof is using a tool.,Nobody is using a tool.,contradiction
The people in this photo appear to be running or walking.,There are people sitting at home in chairs.,contradiction
A professional wrestler falls outside the ring.,The referee falls outside the ring.,contradiction
The motorcycle racer is taking a curve on the dirt track.,The person is sitting on a couch.,contradiction
A young man in a white t-shirt brushes his teeth while looking on in the mirror.,The man is brushing his hair.,contradiction
A young child runs with chickens.,A boy playing with his dog,contradiction
A guy sitting at a desk talking on a phone with books laying everywhere.,A woman is reading a book.,contradiction
Crowd of people in street lined with tall tan buildings.,People are sitting on the beach.,contradiction
"A blond woman dressed in a white skirt with pink polka dots and a ""Pink Ladies"" leather jacket and a man in a black leather jacket and sunglasses wait on a sidewalk.",A monkey dressed in a white skirt with pink polka dots,contradiction
A soccer player is joining his teammates on the field.,The cars just drove onto the soccer field.,contradiction
A greyhound with a muzzle runs on a racetrack.,The dog is walking around the house.,contradiction
